,p,D12,T
0,25000.0,9.635695647428318e-05,300.0
1,31034.482758620692,7.762088160428368e-05,
2,37068.965517241384,6.498492413381888e-05,
3,43103.448275862065,5.588703475508425e-05,
4,49137.93103448276,4.9023714697442315e-05,
5,55172.41379310345,4.366174590240958e-05,
6,61206.89655172413,3.935706672893257e-05,
7,67241.37931034483,3.582502227890016e-05,
8,73275.86206896552,3.287472632652015e-05,
9,79310.3448275862,3.0373388453850136e-05,
10,85344.8275862069,2.822577512883043e-05,
11,91379.3103448276,2.6361808846737855e-05,
12,97413.79310344828,2.4728776440302763e-05,
13,103448.27586206897,2.3286264481285102e-05,
14,109482.75862068965,2.2002769588615844e-05,
15,115517.24137931036,2.0853371177270243e-05,
16,121551.72413793104,1.9818097430880938e-05,
17,127586.20689655174,1.8880754984825758e-05,
18,133620.6896551724,1.802807572744653e-05,
19,139655.1724137931,1.724908480095193e-05,
20,145689.6551724138,1.6534625667184685e-05,
21,151724.1379310345,1.5876998509967118e-05,
22,157758.6206896552,1.5269681627072198e-05,
23,163793.10344827586,1.4707114409232698e-05,
24,169827.58620689655,1.4184526587584835e-05,
25,175862.06896551725,1.3697802636050059e-05,
26,181896.55172413794,1.3243373164711905e-05,
27,187931.03448275864,1.281812723740464e-05,
28,193965.5172413793,1.2419341056685388e-05,
29,200000.0,1.2044619559285398e-05,
