,T,D12,p
0,250.0,1.3305792982184288e-05,100000.0
1,258.62068965517244,1.4210102406649312e-05,
2,267.2413793103448,1.513512652681311e-05,
3,275.86206896551727,1.610752694521953e-05,
4,284.48275862068965,1.7018488444317072e-05,
5,293.1034482758621,1.8020546483547356e-05,
6,301.7241379310345,1.9040615599694126e-05,
7,310.3448275862069,2.0090097013737087e-05,
8,318.9655172413793,2.1186458137506942e-05,
9,327.58620689655174,2.218184586166338e-05,
10,336.2068965517241,2.329465683549119e-05,
11,344.82758620689657,2.4416999125674482e-05,
12,353.44827586206895,2.5562679735137494e-05,
13,362.0689655172414,2.6742386118530967e-05,
14,370.68965517241384,2.797450362646449e-05,
15,379.3103448275862,2.9056465868390917e-05,
16,387.9310344827586,3.0296964684884037e-05,
17,396.55172413793105,,
18,405.1724137931035,3.280222345084625e-05,
19,413.7931034482759,3.409376628850102e-05,
20,422.41379310344826,3.542040645480148e-05,
21,431.0344827586207,3.6803444082361555e-05,
22,439.65517241379314,3.797213957769454e-05,
23,448.2758620689655,3.935550883478371e-05,
24,456.89655172413796,,
25,465.51724137931035,,
26,474.1379310344828,4.353971579984994e-05,
27,482.75862068965523,4.497590580051771e-05,
28,491.3793103448276,4.645629297148714e-05,
29,500.0,4.799615936587309e-05,
