,p,D12,T
0,25000.0,7.024632261850083e-05,300.0
1,31034.482758620692,5.6587315442681225e-05,
2,37068.965517241384,4.737542688224474e-05,
3,43103.448275862065,4.0742867118730474e-05,
4,49137.93103448276,3.5739357121693394e-05,
5,55172.41379310345,3.183036493650819e-05,
6,61206.89655172413,2.8692159942767942e-05,
7,67241.37931034483,2.6117222512006715e-05,
8,73275.86206896552,2.396639242278264e-05,
9,79310.3448275862,2.2142862564527436e-05,
10,85344.8275862069,2.0577205615520446e-05,
11,91379.3103448276,1.921833354657098e-05,
12,97413.79310344828,1.8027817309172776e-05,
13,103448.27586206897,1.6976194632804368e-05,
14,109482.75862068965,1.604049886564192e-05,
15,115517.24137931036,1.5202562357735253e-05,
16,121551.72413793104,1.4447825219407972e-05,
17,127586.20689655174,1.376448213470624e-05,
18,133620.6896551724,1.31428603608808e-05,
19,139655.1724137931,1.2574958987262495e-05,
20,145689.6551724138,1.2054102697849253e-05,
21,151724.1379310345,1.157467815873025e-05,
22,157758.6206896552,1.1131930906756959e-05,
23,163793.10344827586,1.0721807136508022e-05,
24,169827.58620689655,1.0340829217951898e-05,
25,175862.06896551725,9.985996842826097e-06,
26,181896.55172413794,9.654707848040398e-06,
27,187931.03448275864,9.344694293286807e-06,
28,193965.5172413793,9.053970470828996e-06,
29,200000.0,8.780790327312604e-06,
