,p,D12,T
0,25000.0,0.00025258095198458076,300.0
1,31034.482758620692,0.00020346798909869006,
2,37068.965517241384,0.0001703452931989033,
3,43103.448275862065,0.00014649695215105687,
4,49137.93103448276,0.00012850609837812001,
5,55172.41379310345,0.00011445074386801318,
6,61206.89655172413,0.00010316686771201188,
7,67241.37931034483,9.390830266093387e-05,
8,73275.86206896552,8.617467773591581e-05,
9,79310.3448275862,7.961790877774829e-05,
10,85344.8275862069,7.398835967225094e-05,
11,91379.3103448276,6.910233592030983e-05,
12,97413.79310344828,6.482166024383047e-05,
13,103448.27586206897,6.104039672960702e-05,
14,109482.75862068965,5.767596541380191e-05,
15,115517.24137931036,5.4663041847409274e-05,
16,121551.72413793104,5.19492738124315e-05,
17,127586.20689655174,4.9492213564546215e-05,
18,133620.6896551724,4.72570813390506e-05,
19,139655.1724137931,4.52151086885978e-05,
20,145689.6551724138,4.334229353581563e-05,
21,151724.1379310345,4.1618452315641146e-05,
22,157758.6206896552,4.00264896587587e-05,
23,163793.10344827586,3.855182951343601e-05,
24,169827.58620689655,3.718196755102966e-05,
25,175862.06896551725,3.590611572329825e-05,
26,181896.55172413794,3.471491757134048e-05,
27,187931.03448275864,3.360021838326991e-05,
28,193965.5172413793,3.2554878255790406e-05,
29,200000.0,3.1572618998072595e-05,
