,T,D12,p
0,250.0,2.8484982483256166e-05,100000.0
1,258.62068965517244,3.029723775398696e-05,
2,267.2413793103448,3.215491336466804e-05,
3,275.86206896551727,3.40653788610396e-05,
4,284.48275862068965,3.602365240371483e-05,
5,293.1034482758621,3.802560081528946e-05,
6,301.7241379310345,4.0073055169711993e-05,
7,310.3448275862069,4.216636430477772e-05,
8,318.9655172413793,4.430632456376266e-05,
9,327.58620689655174,4.6491237519223344e-05,
10,336.2068965517241,4.8723477324864205e-05,
11,344.82758620689657,5.099744900277794e-05,
12,353.44827586206895,5.3315777974909185e-05,
13,362.0689655172414,5.56783781911053e-05,
14,370.68965517241384,5.80845338385766e-05,
15,379.3103448275862,6.053427159703605e-05,
16,387.9310344827586,6.302814835850682e-05,
17,396.55172413793105,6.556302298808204e-05,
18,405.1724137931035,6.814137072199954e-05,
19,413.7931034482759,7.076268072637918e-05,
20,422.41379310344826,7.34299595607633e-05,
21,431.0344827586207,7.613450204871369e-05,
22,439.65517241379314,7.888136499482883e-05,
23,448.2758620689655,8.167438175963183e-05,
24,456.89655172413796,8.45036210879921e-05,
25,465.51724137931035,8.737322742279032e-05,
26,474.1379310344828,9.028715680345624e-05,
27,482.75862068965523,9.324803968718396e-05,
28,491.3793103448276,9.624341114262143e-05,
29,500.0,9.928235508011535e-05,
