,p,D12,T
0,25000.0,0.00013464004631339642,300.0
1,31034.482758620692,0.00010846003730801376,
2,37068.965517241384,9.080375216484873e-05,
3,43103.448275862065,7.809122686176992e-05,
4,49137.93103448276,6.8501076194535e-05,
5,55172.41379310345,6.1008770985757756e-05,
6,61206.89655172413,5.499382173364078e-05,
7,67241.37931034483,5.005847875754481e-05,
8,73275.86206896552,4.5936015801041135e-05,
9,79310.3448275862,4.24408841640054e-05,
10,85344.8275862069,3.944001356655047e-05,
11,91379.3103448276,3.683548436875939e-05,
12,97413.79310344828,3.455364020432297e-05,
13,103448.27586206897,3.253801119240413e-05,
14,109482.75862068965,3.074457750463383e-05,
15,115517.24137931036,2.9138517485735044e-05,
16,121551.72413793104,2.769192441906735e-05,
17,127586.20689655174,2.6382171237084427e-05,
18,133620.6896551724,2.5190718342506424e-05,
19,139655.1724137931,2.410223051289195e-05,
20,145689.6551724138,2.3103913272712994e-05,
21,151724.1379310345,2.218500763118464e-05,
22,157758.6206896552,2.1336400781904345e-05,
23,163793.10344827586,2.0550322858360504e-05,
24,169827.58620689655,1.9820108340550744e-05,
25,175862.06896551725,1.9140006583767138e-05,
26,181896.55172413794,1.8505030062030786e-05,
27,187931.03448275864,1.7910831849029793e-05,
28,193965.5172413793,1.7353605969282204e-05,
29,200000.0,1.6830005789174553e-05,
