,T,D12,p
0,250.0,1.5217253153976484e-05,100000.0
1,258.62068965517244,1.6234432750418474e-05,
2,267.2413793103448,1.7325902085579403e-05,
3,275.86206896551727,1.8389566165522006e-05,
4,284.48275862068965,1.9545351843553492e-05,
5,293.1034482758621,2.0704612379989034e-05,
6,301.7241379310345,2.1895191006713822e-05,
7,310.3448275862069,2.3144875338158888e-05,
8,318.9655172413793,2.4292731398172882e-05,
9,327.58620689655174,2.5571858397322112e-05,
10,336.2068965517241,2.6868836141638804e-05,
11,344.82758620689657,2.8196634925056323e-05,
12,353.44827586206895,2.957025455074405e-05,
13,362.0689655172414,3.096263816768233e-05,
14,370.68965517241384,3.224555186346218e-05,
15,379.3103448275862,3.3668830675537474e-05,
16,387.9310344827586,3.510680392269149e-05,
17,396.55172413793105,,
18,405.1724137931035,3.807565388044742e-05,
19,413.7931034482759,3.964121175861436e-05,
20,422.41379310344826,4.102040671248392e-05,
21,431.0344827586207,4.259062225260824e-05,
22,439.65517241379314,4.41771316945509e-05,
23,448.2758620689655,4.577517645446128e-05,
24,456.89655172413796,,
25,465.51724137931035,,
26,474.1379310344828,5.074741190564056e-05,
27,482.75862068965523,5.251770869904165e-05,
28,491.3793103448276,5.405252341915052e-05,
29,500.0,5.575343103453482e-05,
