,p,D12,T
0,25000.0,8.667963484498866e-05,300.0
1,31034.482758620692,6.98252614029075e-05,
2,37068.965517241384,5.8458358383829525e-05,
3,43103.448275862065,5.02741882100934e-05,
4,49137.93103448276,4.4100165096573146e-05,
5,55172.41379310345,3.927670953913546e-05,
6,61206.89655172413,3.540435789443197e-05,
7,67241.37931034483,3.222704372441884e-05,
8,73275.86206896552,2.9573051888290244e-05,
9,79310.3448275862,2.7322928375050762e-05,
10,85344.8275862069,2.5391004146511816e-05,
11,91379.3103448276,2.3714239721742176e-05,
12,97413.79310344828,2.224521602216522e-05,
13,103448.27586206897,2.094757842087225e-05,
14,109482.75862068965,1.9792987484288742e-05,
15,115517.24137931036,1.8759025451527385e-05,
16,121551.72413793104,1.782772631563596e-05,
17,127586.20689655174,1.6984523043950465e-05,
18,133620.6896551724,1.6217480067772062e-05,
19,139655.1724137931,1.551672475620167e-05,
20,145689.6551724138,1.4874020180501003e-05,
21,151724.1379310345,1.4282439832412898e-05,
22,157758.6206896552,1.3736116997293274e-05,
23,163793.10344827586,1.3230049528971946e-05,
24,169827.58620689655,1.27599462462166e-05,
25,175862.06896551725,1.2322104953454263e-05,
26,181896.55172413794,1.1913314741728293e-05,
27,187931.03448275864,1.1530777112406739e-05,
28,193965.5172413793,1.1172041824465202e-05,
29,200000.0,1.0834954355623582e-05,
