,T,D12,p
0,250.0,2.6194470729883397e-05,100000.0
1,258.62068965517244,2.785437755548734e-05,
2,267.2413793103448,2.9585355623187818e-05,
3,275.86206896551727,3.1250324749817336e-05,
4,284.48275862068965,3.301932868921134e-05,
5,293.1034482758621,3.484236233410693e-05,
6,301.7241379310345,3.6694695179007944e-05,
7,310.3448275862069,3.860896314278148e-05,
8,318.9655172413793,4.0485815236932014e-05,
9,327.58620689655174,4.244309964253881e-05,
10,336.2068965517241,4.446279850802992e-05,
11,344.82758620689657,4.6503161852471325e-05,
12,353.44827586206895,4.8573012525138184e-05,
13,362.0689655172414,5.067364187036975e-05,
14,370.68965517241384,5.28196475290216e-05,
15,379.3103448275862,5.502503904647506e-05,
16,387.9310344827586,5.726318831298152e-05,
17,396.55172413793105,,
18,405.1724137931035,6.182882274960905e-05,
19,413.7931034482759,6.415817339901463e-05,
20,422.41379310344826,6.652356419465635e-05,
21,431.0344827586207,6.892992525052914e-05,
22,439.65517241379314,7.138085115357519e-05,
23,448.2758620689655,7.386314389364154e-05,
24,456.89655172413796,,
25,465.51724137931035,,
26,474.1379310344828,8.15083648695016e-05,
27,482.75862068965523,8.412234490290703e-05,
28,491.3793103448276,8.676781729685411e-05,
29,500.0,8.945129221355675e-05,
