,p,D12,T
0,25000.0,0.00014528225868728497,300.0
1,31034.482758620692,0.00011703293060920179,
2,37068.965517241384,9.7981058184448e-05,
3,43103.448275862065,8.426371003862528e-05,
4,49137.93103448276,7.391553512160111e-05,
5,55172.41379310345,6.5831023467676e-05,
6,61206.89655172413,5.934064087227134e-05,
7,67241.37931034483,5.401519874270852e-05,
8,73275.86206896552,4.956688825801488e-05,
9,79310.3448275862,4.5795494586209394e-05,
10,85344.8275862069,4.255742931243701e-05,
11,91379.3103448276,3.97470330370874e-05,
12,97413.79310344828,3.728482745071915e-05,
13,103448.27586206897,3.510987918276054e-05,
14,109482.75862068965,3.3174688991584764e-05,
15,115517.24137931036,3.1441682850233314e-05,
16,121551.72413793104,2.9880748240647262e-05,
17,127586.20689655174,2.8467469607643666e-05,
18,133620.6896551724,2.7181841947943635e-05,
19,139655.1724137931,2.6007317913155955e-05,
20,145689.6551724138,2.4930091727403925e-05,
21,151724.1379310345,2.3938553988245828e-05,
22,157758.6206896552,2.3022871595252807e-05,
23,163793.10344827586,2.2174660536480335e-05,
24,169827.58620689655,2.138672843619931e-05,
25,175862.06896551725,2.0652870107506196e-05,
26,181896.55172413794,1.9967703800622105e-05,
27,187931.03448275864,1.9326538999684692e-05,
28,193965.5172413793,1.8725268897472286e-05,
29,200000.0,1.816028233591062e-05,
