,p,D12,T
0,25000.0,0.00023780072326006364,300.0
1,31034.482758620692,0.0001915616937372735,
2,37068.965517241384,0.00016037723196608944,
3,43103.448275862065,0.0001379244194908369,
4,49137.93103448276,0.00012098633288669905,
5,55172.41379310345,0.00010775345272721636,
6,61206.89655172413,9.712987288087107e-05,
7,67241.37931034483,8.841308941720314e-05,
8,73275.86206896552,8.11320114651982e-05,
9,79310.3448275862,7.495892363632442e-05,
10,85344.8275862069,6.96587977226449e-05,
11,91379.3103448276,6.505868843907402e-05,
12,97413.79310344828,6.1028504199485364e-05,
13,103448.27586206897,5.7468508121182045e-05,
14,109482.75862068965,5.43009525554476e-05,
15,115517.24137931036,5.146433563090929e-05,
16,121551.72413793104,4.890936861377195e-05,
17,127586.20689655174,4.659608766582327e-05,
18,133620.6896551724,4.449174822285061e-05,
19,139655.1724137931,4.256926527494967e-05,
20,145689.6551724138,4.0806041269478376e-05,
21,151724.1379310345,3.918307371898776e-05,
22,157758.6206896552,3.768426762044724e-05,
23,163793.10344827586,3.6295899866009714e-05,
24,169827.58620689655,3.500619784031393e-05,
25,175862.06896551725,3.380500477716591e-05,
26,181896.55172413794,3.268351172768647e-05,
27,187931.03448275864,3.163404116762313e-05,
28,193965.5172413793,3.064987099796375e-05,
29,200000.0,2.9725090407507954e-05,
