,p,D12,T
0,25000.0,0.000496837003139229,300.0
1,31034.482758620692,0.0004002298080843788,
2,37068.965517241384,0.00033507611839622416,
3,43103.448275862065,0.00028816546182075276,
4,49137.93103448276,0.00025277672089539716,
5,55172.41379310345,0.00022512926704746316,
6,61206.89655172413,0.0002029334238174315,
7,67241.37931034483,0.0001847214498850979,
8,73275.86206896552,0.00016950909518867813,
9,79310.3448275862,0.00015661166403301783,
10,85344.8275862069,0.0001455381120306832,
11,91379.3103448276,0.00013592710463243053,
12,97413.79310344828,0.00012750684151360744,
13,103448.27586206897,0.00012006894242531365,
14,109482.75862068965,0.0001134509692207688,
15,115517.24137931036,0.00010752442605251968,
16,121551.72413793104,0.00010218633397899034,
17,127586.20689655174,9.73531965610651e-05,
18,133620.6896551724,9.295660058733961e-05,
19,139655.1724137931,8.893995735208419e-05,
20,145689.6551724138,8.525605379312211e-05,
21,151724.1379310345,8.186518801725933e-05,
22,157758.6206896552,7.873373273791058e-05,
23,163793.10344827586,7.583301626861915e-05,
24,169827.58620689655,7.313844208648546e-05,
25,175862.06896551725,7.062878966194922e-05,
26,181896.55172413794,6.828565445989402e-05,
27,187931.03448275864,6.609299583044786e-05,
28,193965.5172413793,6.40367692935006e-05,
29,200000.0,6.210462539240362e-05,
