,T,D12,p
0,250.0,2.9996514491592974e-05,100000.0
1,258.62068965517244,3.1898035051255815e-05,
2,267.2413793103448,3.384604361667828e-05,
3,275.86206896551727,3.586982560952512e-05,
4,284.48275862068965,3.793232746169741e-05,
5,293.1034482758621,4.004023505895769e-05,
6,301.7241379310345,4.219674908123589e-05,
7,310.3448275862069,4.440565088909105e-05,
8,318.9655172413793,4.666679362465114e-05,
9,327.58620689655174,4.8971186907562834e-05,
10,336.2068965517241,5.132119677467308e-05,
11,344.82758620689657,5.371818096687669e-05,
12,353.44827586206895,5.61626961726931e-05,
13,362.0689655172414,5.865385544468848e-05,
14,370.68965517241384,6.119044372345596e-05,
15,379.3103448275862,6.377311951139769e-05,
16,387.9310344827586,6.640399831588568e-05,
17,396.55172413793105,6.907737539817446e-05,
18,405.1724137931035,7.179335952459649e-05,
19,413.7931034482759,7.455501653840272e-05,
20,422.41379310344826,,
21,431.0344827586207,8.021433211974233e-05,
22,439.65517241379314,8.310984561519329e-05,
23,448.2758620689655,8.604700246067274e-05,
24,456.89655172413796,8.903090332821428e-05,
25,465.51724137931035,9.20560737360312e-05,
26,474.1379310344828,9.51248359105835e-05,
27,482.75862068965523,9.824180615346909e-05,
28,491.3793103448276,0.00010139498492917827,
29,500.0,0.00010459052684216221,
