,p,D12,T
0,25000.0,0.000143656681661544,300.0
1,31034.482758620692,0.00011572343800513264,
2,37068.965517241384,9.688473879499479e-05,
3,43103.448275862065,8.332087536369553e-05,
4,49137.93103448276,7.308848716113641e-05,
5,55172.41379310345,6.509443387788713e-05,
6,61206.89655172413,5.867667279133486e-05,
7,67241.37931034483,5.341081754083047e-05,
8,73275.86206896552,4.901227962570325e-05,
9,79310.3448275862,4.5283084436791035e-05,
10,85344.8275862069,4.20812501836846e-05,
11,91379.3103448276,3.9302299699856374e-05,
12,97413.79310344828,3.6867643966236955e-05,
13,103448.27586206897,3.47170314015398e-05,
14,109482.75862068965,3.280349423767541e-05,
15,115517.24137931036,3.108987886705057e-05,
16,121551.72413793104,2.9546409703438125e-05,
17,127586.20689655174,2.8148944379626863e-05,
18,133620.6896551724,2.6877701730224357e-05,
19,139655.1724137931,2.571631955669615e-05,
20,145689.6551724138,2.4651146557306365e-05,
21,151724.1379310345,2.3670703228322598e-05,
22,157758.6206896552,2.276526649281298e-05,
23,163793.10344827586,2.1926546148340928e-05,
24,169827.58620689655,2.1147430295354197e-05,
25,175862.06896551725,2.0421783177376355e-05,
26,181896.55172413794,1.9744283261539224e-05,
27,187931.03448275864,1.911029251460906e-05,
28,193965.5172413793,1.851575008082123e-05,
29,200000.0,1.7957085207693e-05,
